Bajkowe Boze Narodzenie,2011,Michael Damian,Katie McGrath|Roger Moore|Sam Heughan|Travis Turner,6.4
Teen Beach Movie,2013,Jeffrey Hornaday,Ross Lynch|Maia Mitchell|Gracie Gillam|Garrett Clayton,5.9
Angel Falls: A Novel Holiday,2019,Jonathan Wright,Jen Lilley|Carlo Marks|Eric Close|Rachael Crawford,6.3
Przygoda wsrod Ewokow,1984,John Korty,Eric Walker|Warwick Davis|Fionnula Flanagan|Guy Boyd,5.5
Gia,1998,Michael Cristofer,Angelina Jolie|Faye Dunaway|Elizabeth Mitchell|Mercedes Ruehl,7.0
Holiday for Heroes,2019,Clare Niederpruem,Melissa Claire Egan|Marc Blucas|Latarsha Rose|Patti Murin,7.1
63 Up,2019,Michael Apted,Tony Walker|Nicholas Hitchon|Charles Furneaux|Lynn Johnson,8.2
Agatha and the Curse of Ishtar,2019,Sam Yates,Lyndsey Marshal|Jonah Hauer-King|Bronagh Waugh|Crystal Clarke,6.6
Christmas at Pemberley Manor,2018,Colin Theys,Jessica Lowndes|Michael Rady|Cole Gleason|Maddie McCormick,6.4
Korona na Gwiazdke,2015,Alex Zamm,Danica McKellar|Rupert Penry-Jones|Ellie Botterill|Pavel Douglas,7.0
Christmas Under Wraps,2014,Peter Sullivan,Candace Cameron Bure|David O'Donnell|Robert Pine|Kendra Mylnechuk,6.7
It's Beginning to Look a Lot Like Christmas,2019,David Weaver,Tricia Helfer|Eric Mabius|Aliza Vellani|Raf Rogers,6.3
Royal New Year's Eve,2017,Monika Mitchell,Jessy Schram|Sam Page|Crystal Balint|Hayley Sales,6.3
High School Musical 2,2007,Kenny Ortega,Zac Efron|Vanessa Hudgens|Ashley Tisdale|Lucas Grabeel,5.0
Swieta z widokiem,2018,Justin G. Dyck,Kaitlyn Leeb|Scott Cavalheiro|Mark Ghanime|Kristen Kurnik,5.1
Bibliotekarz: Tajemnica wlóczni,2004,Peter Winther,Noah Wyle|Sonya Walger|Bob Newhart|Kyle MacLachlan,6.3
Star Wars: Ewoki - Bitwa o Endor,1985,Jim Wheat,Ken Wheat|Wilford Brimley|Warwick Davis|Aubree Miller|Siân Phillips,5.5
Goodbye Mr. Chips,2002,Stuart Orme,Martin Clunes|Victoria Hamilton|Conleth Hill|John Wood,7.5
The Little Mermaid Live!,2019,Hamish Hamilton,Ron Clements|John Musker|Auli'i Cravalho|Shaggy|Graham Phillips|Amber Riley,5.6
Marry Me at Christmas,2017,Terry Ingram,Rachel Skarsten|Trevor Donovan|Emily Tennant|Blair Penner,6.4
The Christmas Cottage,2017,Paul A. Kaufman,Merritt Patterson|Steve Lund|Brittney Wilson|Victor Zinck Jr.,6.4
Nazajutrz,1983,Nicholas Meyer,Jason Robards|JoBeth Williams|Steve Guttenberg|John Cullum,7.0
Gangsta Granny,2013,Matt Lipsey,Julia McKenzie|David Walliams|Miranda Hart|Reece Buttery,5.9
Journey Back to Christmas,2016,Mel Damski,Candace Cameron Bure|Oliver Hudson|Brooke Nevin|Meghan Heffern,7.1
Steven Universe: The Movie,2019,Rebecca Sugar,Zach Callison|Estelle|Michaela Dietz|Deedee Magno,8.0
A Godwink Christmas: Meant for Love,2019,Paul Ziller,Cindy Busby|Benjamin Hollingsworth|Kathie Lee Gifford|Hilary Jardine,7.3
Small Town Christmas,2018,Maclain Nelson,Ashley Newbrough|Kristoffer Polaha|Preston Vanderslice|Bailey Skodje,6.9
New Year's Kiss,2019,David Langlois,Erin Karpluk|Robin Dunne|Karis Cameron|Aurelio DiNunzio,4.9
Brexit,2019,Toby Haynes,Benedict Cumberbatch|Sarah Belcher|Malcolm Freeman|Lucy Russell,7.0
Responsible Child,2019,Nick Holt,Billy Barratt|James Tarpey|Tom Burke|Neal Barry,7.3
Christmas Break-In,2018,Michael Kampa,Denise Richards|Danny Glover|Cameron Seely|Katrina Begin,4.5
Król Lear,2018,Richard Eyre,Jim Broadbent|Jim Carter|Tobias Menzies|Emily Watson,6.1
Pride Prejudice and Mistletoe,2018,Don McBrearty,Lacey Chabert|Brendan Penny|Sherry Miller|Art Hindle,6.4
Christmas in Evergreen,2017,Alex Zamm,Ashley Williams|Teddy Sears|Holly Robinson Peete|Jaeda Lily Miller,6.7
Odruch serca,2014,Ryan Murphy,Mark Ruffalo|Jonathan Groff|Frank De Julio|William DeMeritt,7.9
Ablaze,2019,Joshua Frizzell,Hannah Marshall|Daniel Watterson|Mark Mitchinson|Jared Turner,7.3
Czarodziejka,2008,Craig Pryce,Catherine Bell|Chris Potter|Catherine Disher|Peter MacNeill,7.1
Dirty John: The Dirty Truth,2019,Sara Mast,Keri Bunkers|Paige McGarvin|Johnson Cooley|Jordan Block,6.0
Our Christmas Love Song,2019,Gary Yates,Alicia Witt|Brendan Hines|Andrea del Campo|Anna Anderson Epp,6.5
Sense Sensibility & Snowmen,2019,David Winning,Erin Krakow|Luke Macfarlane|Kimberley Sustad|Jason McKinnon,6.6
The Mistletoe Secret,2019,Terry Ingram,Kellie Pickler|Tyler Hynes|Christopher Russell|Patrick Duffy,6.3
A Wish For Christmas,2016,Christie Will Wolf,Lacey Chabert|Paul Greene|Andrea Brooks|Colleen Wheeler,6.0
A Family Christmas Gift,2019,Kevin Fair,Holly Robinson Peete|Dion Johnstone|Patti LaBelle|Kerensa Cooper,5.8
The Spirit of Christmas,2015,David Jackson,Thomas Beaudoin|Kati Salowsky|Steven A. Miller|Jen Lilley,6.4
Northern Lights of Christmas,2018,Jonathan Wright,Ashley Williams|Corey Sevier|Genelle Williams|Laura Miyata,6.7
A Christmas Wish,2019,Emily Moss Wilson,Hilarie Burton|Tyler Hilton|Megan Park|Lee Norris,6.3
Inteligentny dom,1999,LeVar Burton,Kevin Kilner|Ryan Merriman|Katey Sagal|Jessica Steen,6.3
Lemoniada Gada,2011,Patricia Riggen,Bridgit Mendler|Adam Hicks|Hayley Kiyoko|Naomi Scott,6.9
Christmas Wedding Planner,2017,Justin G. Dyck,Jocelyn Hudon|Stephen Huszar|Kelly Rutherford|Rebecca Dalton,4.3
Metamorfoza,1999,Duwayne Dunham,Chez Starbuck|Justin Jon Ross|Courtnee Draper|Brent Briscoe,6.0
Rudolph the Red-Nosed Reindeer,1964,Larry Roemer,Billie Mae Richards|Burl Ives|Larry D. Mann|Paul Soles,8.1
Murder on the Blackpool Express,2017,Simon Delaney,Susie Blake|Katy Cavanagh-Jupe|Matthew Cottle|Kevin Eldon,6.0
Truth or Dare,2017,Nick Simon,Cassandra Scerbo|Brytni Sarpy|Mason Dye|Alexxis Lemire,5.0
The Nine Lives of Christmas,2014,Mark Jean,Brandon Routh|Kimberley Sustad|Stephanie Bennett|Chelsea Hobbs,7.1
The Naughty List,2019,Jake Helgren,Vanessa Lengies|Evan Williams|Katherine Bailess|Julie McNiven,5.9
Time for Me to Come Home for Christmas,2018,David Winning,Megan Park|Josh Henderson|Lindsay Maxwell|Paul McGillion,6.7
Death on the Tyne,2018,Ed Bye,Taj Atwal|Jason Cook|James Fleet|Tony Gardner,5.8
A Midnight Kiss,2018,J.B. Sugar,Adelaide Kane|Carlos PenaVega|Pauline Egan|Jason Cermak,6.2
The Christmas Train,2017,Ron Oliver,Dermot Mulroney|Kimberly Williams-Paisley|Danny Glover|Joan Cusack,6.5
A Christmas Crush,2019,Marita Grabiak,Paul Constable|Erica Deutschman|Robin Dunne|Konstantina Mantelos,5.1
After Ever After,2019,Elliot Hegarty,Ben Ashenden|Ruth Bratt|Tom Courtenay|Zak Douglas,4.4
Mingle All the Way,2018,Allan Harmon,Jen Lilley|Brant Daugherty|Lindsay Wagner|Casey Manderson,6.9
Trevor and the Virgin 2,2019,Jeff Jenkins,Chloe Ray Warmoth|Dylan Rourke|Idil Bray|Elizabeth Posey,6.6
Grease: Na zywo,2016,Thomas Kail,Alex Rudzinski|Julianne Hough|Aaron Tveit|Vanessa Hudgens|Keke Palmer,7.3
