Black Swan,2010,Darren Aronofsky,Natalie Portman|Mila Kunis,7.7
Secret Window,2004,David Koepp,Johnny Depp|John Turturro,7.1
Goodfellas,1990,Martin Scorsese,Robert De Niro|Ray Liotta,8.3
The Hobbit: An Unexpected Journey,2012,Peter Jackson,Martin Freeman|Ian McKellen,7.6
Million Dollar Baby,2004,Clint Eastwood,Clint Eastwood|Hilary Swank,7.8
Kiler,1997,Juliusz Machulski,Cezary Pazura|Malgorzata Kozuchowska,7.7
Hannibal,2001,Ridley Scott,Anthony Hopkins|Julianne Moore,7.6
Lord of War,2005,Andrew Niccol,Nicolas Cage|Bridget Moynahan,7.6
The Girl with the Dragon Tattoo,2011,David Fincher,Daniel Craig|Rooney Mara,7.7
Mr. & Mrs. Smith,2005,Doug Liman,Brad Pitt|Angelina Jolie,6.7
Good Will Hunting,1997,Gus Van Sant,Matt Damon|Robin Williams,8.1
Chlopaki nie placza,2000,Olaf Lubaszenko,Maciej Stuhr|Cezary Pazura,7.8
Scarface,1983,Brian De Palma,Al Pacino|Steven Bauer,8.3
Perfume: The Story of a Murderer,2006,Tom Tykwer,Ben Whishaw|Alan Rickman,7.4
The Illusionist,2006,Neil Burger,Edward Norton|Jessica Biel,7.8
K-PAX,2001,Iain Softley,Jeff Bridges|Kevin Spacey,7.6
Whiplash,2014,Damien Chazelle,Miles Teller|J.K. Simmons,8.1
300,2006,Zack Snyder,Gerard Butler|Lena Headey,7.5
A Clockwork Orange,1971,Stanley Kubrick,Malcolm McDowell|Patrick Magee,7.9
The King's Speech,2010,Tom Hooper,Colin Firth|Geoffrey Rush,7.8
V for Vendetta,2005,James McTeigue,Natalie Portman|Hugo Weaving,7.4
Alice in Wonderland,2010,Tim Burton,Johnny Depp|Mia Wasikowska,7.1
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,Johnny Depp|Orlando Bloom,7.8
Gone Girl,2014,David Fincher,Ben Affleck|Rosamund Pike,7.8
Donnie Darko,2001,Richard Kelly,Jake Gyllenhaal|Jena Malone,7.7
12 Angry Men,1957,Sidney Lumet,Martin Balsam|John Fiedler,8.7
Girl Interrupted,1999,James Mangold,Winona Ryder|Angelina Jolie,7.9
Limitless,2011,Neil Burger,Bradley Cooper|Robert De Niro,7.6
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Daniel Radcliffe|Rupert Grint,7.5
The Pursuit of Happyness,2006,Gabriele Muccino,Will Smith|Jaden Smith,8.1
Catch Me If You Can,2002,Steven Spielberg,Leonardo DiCaprio|Tom Hanks,7.9
Blood Diamond,2006,Edward Zwick,Leonardo DiCaprio|Jennifer Connelly,7.5
The Devil Wears Prada,2006,David Frankel,Meryl Streep|Anne Hathaway,6.9
Taxi Driver,1976,Martin Scorsese,Robert De Niro|Jodie Foster,7.9
Kill Bill: Vol. 1,2003,Quentin Tarantino,Uma Thurman|David Carradine,7.4
Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,Brad Pitt|Tom Cruise,7.7
Home Alone,1990,Chris Columbus,Macaulay Culkin|Joe Pesci,7.1
Taken,2008,Pierre Morel,Liam Neeson|Maggie Grace,7.7
The Help,2011,Tate Taylor,Emma Stone|Viola Davis,8.1
The Godfather: Part II,1974,Francis Ford Coppola,Al Pacino|Robert Duvall,8.5
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,Daniel Radcliffe|Rupert Grint,7.7
Deadpool,2016,Tim Miller,Ryan Reynolds|Morena Baccarin,7.6
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,Johnny Depp|Orlando Bloom,7.7
Harry Potter and the Goblet of Fire,2005,Mike Newell,Daniel Radcliffe|Rupert Grint,7.6
Now You See Me,2013,Louis Leterrier,Jesse Eisenberg|Mark Ruffalo,7.4
Black Hawk Down,2001,Ridley Scott,Josh Hartnett|Ewan McGregor,7.8
The Revenant,2015,Alejandro González Iñárritu,Leonardo DiCaprio|Tom Hardy,7.2
No Country for Old Men,2007,Joel Coen,Tommy Lee Jones|Javier Bardem,7.6
Mis,1980,Stanislaw Bareja,Stanislaw Tym|Barbara Burska,7.8
Madagascar,2005,Tom McGrath,None,7.5
Batman Begins,2005,Christopher Nolan,Christian Bale|Michael Caine,7.6
The Hunger Games,2012,Gary Ross,Jennifer Lawrence|Josh Hutcherson,7.2
Iron Man,2008,Jon Favreau,Robert Downey Jr.|Terrence Howard,7.6
Silver Linings Playbook,2012,David O. Russell,Bradley Cooper|Jennifer Lawrence,7.2
1408,2007,Mikael Håfström,John Cusack|Samuel L. Jackson,6.8
Prisoners,2013,Denis Villeneuve,Hugh Jackman|Jake Gyllenhaal,7.9
Trainspotting,1996,Danny Boyle,Ewan McGregor|Ewen Bremner,7.8
Le fabuleux destin d'Amélie Poulain,2001,Jean-Pierre Jeunet,Audrey Tautou|Mathieu Kassovitz,7.6
The Bucket List,2007,Rob Reiner,Jack Nicholson|Morgan Freeman,7.6
American Pie,1999,Chris Weitz,Jason Biggs|Chris Klein,6.5
Hacksaw Ridge,2016,Mel Gibson,Andrew Garfield|Sam Worthington,8.2
The Fifth Element,1997,Luc Besson,Bruce Willis|Gary Oldman,7.4
Blow,2001,Ted Demme,Johnny Depp|Penélope Cruz,7.8
Snatch.,2000,Guy Ritchie,Stephen Graham|Jason Statham,8.0
The Hobbit: The Desolation of Smaug,2013,Peter Jackson,Martin Freeman|Ian McKellen,7.6
The Dark Knight Rises,2012,Christopher Nolan,Christian Bale|Gary Oldman,7.7
Sin City,2005,Robert Rodriguez,Bruce Willis|Mickey Rourke,7.4
Charlie and the Chocolate Factory,2005,Tim Burton,Johnny Depp|Freddie Highmore,7.1
Symetria,2003,Konrad Niewolski,Arkadiusz Detmer|Andrzej Chyra,7.8
The Grand Budapest Hotel,2014,Wes Anderson,Ralph Fiennes|Tony Revolori,7.8
The Theory of Everything,2014,James Marsh,Eddie Redmayne|Felicity Jones,7.6
The Game,1997,David Fincher,Michael Douglas|Sean Penn,7.9
The Avengers,2012,Joss Whedon,Robert Downey Jr.|Chris Evans,7.5
Troy,2004,Wolfgang Petersen,Brad Pitt|Eric Bana,7.4
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Daniel Radcliffe|Rupert Grint,7.7
Room,2015,Lenny Abrahamson,Brie Larson|Jacob Tremblay,7.9
Meet Joe Black,1998,Martin Brest,Brad Pitt|Anthony Hopkins,7.7
Back to the Future,1985,Robert Zemeckis,Michael J. Fox|Christopher Lloyd,7.4
The Martian,2015,Ridley Scott,Matt Damon|Jessica Chastain,7.6
Memento,2000,Christopher Nolan,Guy Pearce|Carrie-Anne Moss,7.6
Babel,2006,Alejandro González Iñárritu,Brad Pitt|Cate Blanchett,7.4
El laberinto del fauno,2006,Guillermo del Toro,Ivana Baquero|Sergi López,7.3
Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,Robert Downey Jr.|Jude Law,7.6
Apocalypse Now,1979,Francis Ford Coppola,Marlon Brando|Robert Duvall,8.2
Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton,Johnny Depp|Helena Bonham Carter,7.5
The Reader,2008,Stephen Daldry,Kate Winslet|Ralph Fiennes,7.8
American Sniper,2014,Clint Eastwood,Bradley Cooper|Sienna Miller,7.6
